step,loss,grad_norm,tps,num_label_tokens
0,0.8178,5.9576,14045.39,89440
1,0.7849,3.6472,18677.01,65162
2,1.0938,10.9843,19063.20,73470
3,0.8861,3.6383,19132.67,66623
4,0.7269,4.5823,18868.49,74545
5,0.6763,1.5773,19351.46,67859
6,0.6894,5.9416,19360.57,95665
7,0.6348,1.3067,19339.35,90536
8,0.6771,1.2259,19229.18,82558
9,0.6046,1.3335,19432.98,88764
10,0.5904,1.1706,19502.41,78557
11,0.5922,1.2635,19380.21,72422
12,0.6019,1.1780,19334.55,69381
13,0.5971,1.0891,19389.81,84009
14,0.6138,1.0573,19146.76,76904
15,0.5547,1.0520,19430.81,71582
16,0.5425,0.9691,19255.73,73356
17,0.5369,0.8559,19527.32,92389
18,0.5723,0.9231,19930.63,88860
19,0.5555,1.0072,19493.41,72126
20,0.5253,1.0950,19617.17,76306
21,0.5417,0.9161,19668.68,91518
22,0.5497,0.8940,19657.71,76785
23,0.5485,0.8982,19486.12,76324
24,0.5638,0.9597,19392.65,70536
25,0.5505,0.9680,19747.89,72068
26,0.5669,1.2480,19368.67,66772
27,0.5791,0.9103,19770.46,80232
28,0.5660,0.8897,19285.98,79447
29,0.5586,1.5902,19361.21,75295
30,0.5181,0.9613,19447.06,64358
31,0.5635,0.9472,19786.76,75805
32,0.5197,0.9656,19415.53,73010
33,0.5516,1.0537,19727.93,79766
34,0.5826,0.9352,19372.30,82497
35,0.5470,1.6221,19499.61,68473
36,0.5415,1.1047,19325.07,70762
37,0.5439,0.8808,19380.57,79730
38,0.5391,0.9754,19583.16,74044
39,0.5286,0.8904,19513.35,82351
40,0.5325,1.0772,19680.23,81328
41,0.5100,0.8869,19556.18,78346
42,0.5541,0.8661,19647.07,85978
43,0.5117,1.3348,19745.91,82936
44,0.5007,0.9767,19562.00,72301
45,0.4962,0.9769,19664.40,67060
46,0.5070,0.9727,19348.58,66158
47,0.4996,0.8687,19537.24,83559
48,0.5351,0.8994,19435.53,85193
49,0.4871,0.8381,20036.43,89470
